GaitCyclePercent,Hip Flexion/Extension,Hip Add/Abduction,Hip Int/External Rotation,Knee Flx/Extension,Knee Add/Abduction,Knee Int/External Rotation,Ankle Dorsi/Plantarflexion,Ankle Inv/Eversion,Ankle Add/Abduction,Foot Angle,Shank Angle,Thigh Angle
29.0,0.0,0.0,0.0,6.389461467663396,1.8499672069035245,3.828087136413531,0.999027577712331,-5.838724198747766,-1.381476853392823,0.5174408066169344,-0.5538185341593552,5.3729400217397885
30.0,0.0,0.0,0.0,6.051487827254821,1.8530511354312347,3.692610051627095,1.4625821851926508,-5.817743773634787,-1.1575145178331168,0.41021553686006196,-1.129635493799122,4.4823505040526666
31.0,0.0,0.0,0.0,5.732160349000194,1.8629306211406211,3.5553509721739305,1.9281997977962178,-5.794161156749798,-0.9618594510172289,0.30081408096066764,-1.7095932210060316,3.6079985863874833
32.0,0.0,0.0,0.0,5.428097035143541,1.873169073201829,3.4033333720333747,2.4002520212341634,-5.765311632822876,-0.7855998091189845,0.18986178022028136,-2.294601204422182,2.7448875769674923
33.0,0.0,0.0,0.0,5.137637976579899,1.8787047398374281,3.2295254462220147,2.879043471794737,-5.731098673171204,-0.6215875930894037,0.07692917035235126,-2.88688608217316,1.8875373553054489
34.0,0.0,0.0,0.0,4.862355198158766,1.87463825235893,3.0308752532204695,3.366029082245258,-5.69096247102772,-0.46028809872133153,-0.04121104133431561,-3.492195308611296,1.0352339946173583
35.0,0.0,0.0,0.0,4.598637459274484,1.8611889044272927,2.8143380634645756,3.8568785688052634,-5.646118360281335,-0.2990828271842672,-0.16834467447342874,-4.113265480443393,0.18404053809985227
36.0,0.0,0.0,0.0,4.348542946267701,1.845113383711662,2.5899888462064293,4.349263092839148,-5.5970746717276985,-0.1397683153978524,-0.30767406954141746,-4.746523737135274,-0.6676272103439564
37.0,0.0,0.0,0.0,4.120975840462244,1.8252704738900114,2.3682173963217994,4.845225366660267,-5.541872743667571,0.014061307419251564,-0.4616356997005856,-5.396913270391281,-1.516975997150946
38.0,0.0,0.0,0.0,3.9263934324222,1.7982114013643253,2.155399605360057,5.347891134747371,-5.4772214255317015,0.16292981187469147,-0.6342205251014398,-6.071092203269877,-2.3589216113334555
39.0,0.0,0.0,0.0,3.774725453979208,1.7670681114376627,1.952544208457217,5.856337731466653,-5.4023710485614505,0.3121742627420572,-0.8311087649732622,-6.775214915246534,-3.1888241425401045
40.0,0.0,0.0,0.0,3.6789022215061706,1.7353804776136263,1.7657432936639337,6.370624694839367,-5.314580882780751,0.4657697627199242,-1.0577913302711643,-7.515079532258799,-4.002160518309366
41.0,0.0,0.0,0.0,3.6483796048589943,1.703316556867729,1.6082308050707512,6.884916259542496,-5.211744573132212,0.6209584481406437,-1.3235164312059913,-8.293402366119233,-4.7895875873622415
42.0,0.0,0.0,0.0,3.694133286855296,1.6682520345037408,1.4925138996229548,7.393967620116887,-5.0887785136320645,0.7746635569296889,-1.6374738247824754,-9.116363873310588,-5.548939682668413
43.0,0.0,0.0,0.0,3.825165463690633,1.628385312374853,1.4306784329139792,7.8885060514198795,-4.9386027005220186,0.9236129626209088,-2.0125616653935325,-9.985618488622231,-6.273671290621512
44.0,0.0,0.0,0.0,4.05193933730987,1.5831097698100294,1.431361396010931,8.359941187152332,-4.7542419590561655,1.0630897333994291,-2.4619854225811832,-10.909204416981206,-6.962206123816507
45.0,0.0,0.0,0.0,4.386142902750581,1.535670588054587,1.4917893621855134,8.79529413246641,-4.531585453663228,1.1908174519362917,-3.004191722190477,-11.892833916311034,-7.603774314407592
46.0,0.0,0.0,0.0,4.838031248227008,1.4912141251300353,1.599362778619666,9.182170033301448,-4.2680521622818635,1.3040897193176546,-3.6556410061695805,-12.935385193449136,-8.193942226259441
47.0,0.0,0.0,0.0,5.414153685583964,1.4508667726273792,1.7409768137006096,9.504685479724134,-3.9570625695616104,1.39757226940391,-4.432233795805783,-14.045794993774855,-8.725928137997828
48.0,0.0,0.0,0.0,6.1226267075827145,1.4131867805556704,1.8973297268079863,9.743297553308963,-3.5889877385577384,1.469831836111072,-5.3573381680015135,-15.221598683958815,-9.192422284945716
49.0,0.0,0.0,0.0,6.968704335708836,1.3773555413165954,2.046641834451748,9.877117964454884,-3.1585123443451355,1.5257687013207175,-6.45601023058842,-16.467696504537418,-9.585813412215973
50.0,0.0,0.0,0.0,7.951740965560954,1.3408823749072711,2.167469433769231,9.876483757305461,-2.6638250872787212,1.5721813058931788,-7.758227076278479,-17.77885481952644,-9.90685106947855
51.0,0.0,0.0,0.0,9.072813162792265,1.2987521258395551,2.2545386660456552,9.705034869349108,-2.1042760065044717,1.6253180816215405,-9.299821754221357,-19.165628107247098,-10.15865639446583
52.0,0.0,0.0,0.0,10.326927392753625,1.2448973151543117,2.3212838250844805,9.32942634227593,-1.4832566204367994,1.7075113024168236,-11.124648381958375,-20.62283142322943,-10.34577568035362
53.0,0.0,0.0,0.0,11.726700879499928,1.1763591969782494,2.378594546448075,8.687765453840447,-0.8054900858146445,1.84712539510688,-13.28388416152952,-22.15550274675728,-10.46099493287245
54.0,0.0,0.0,0.0,13.300030155538261,1.0943706436309009,2.4098406546696456,7.716426980096584,-0.08855178448919918,2.0831660882745062,-15.844771933622663,-23.761694484385906,-10.480971411319931
55.0,0.0,0.0,0.0,15.093329687542486,1.0058815992462575,2.370775150936095,6.339255352965887,0.6397298735976631,2.4631177567356093,-18.886979831486364,-25.455431967674244,-10.360211954196146
56.0,0.0,0.0,0.0,17.170738100080865,0.9226956617612588,2.2224984407584434,4.498606858256263,1.338254683041803,3.024948310587595,-22.474801282617822,-27.235956947534724,-10.042217726000581
57.0,0.0,0.0,0.0,19.579085026582717,0.862164080923271,1.9594474142687908,2.1601496610743354,1.9507255487814266,3.76701697609298,-26.631579592957568,-29.09566464862301,-9.473312006526719
58.0,0.0,0.0,0.0,22.333230849997836,0.8323131049080219,1.6292931206577044,-0.6662655311532011,2.4383238756023538,4.611568897115806,-31.339647170577994,-31.00677170907369,-8.621154169487168
59.0,0.0,0.0,0.0,25.40926061752343,0.8279006596399878,1.3048424229367064,-3.879442689035569,2.8277529792677885,5.42458498844224,-36.46345030440118,-32.94968979363287,-7.4771089151560615
60.0,0.0,0.0,0.0,28.742611163601516,0.8293273991439967,1.0718959266454513,-7.327008475815486,3.18964578720934,6.05998965060409,-41.84035325673361,-34.8777833109051,-6.057872115245703
61.0,0.0,0.0,0.0,32.242992380215384,0.8140915260018653,1.0037645369873018,-10.835587171823285,3.587843354607083,6.393801213865702,-47.23590255136878,-36.74177092639149,-4.402893723451921
62.0,0.0,0.0,0.0,35.83686604395997,0.7679495499517023,1.1566212493585084,-14.222190463036375,4.035319983168288,6.318466129431904,-52.40661013789971,-38.52630969632163,-2.575961907801434
63.0,0.0,0.0,0.0,39.444256116138334,0.6757880766124459,1.559101599056441,-17.344781272536395,4.5199026386074515,5.760649023167378,-57.23060748093069,-40.20679014799195,-0.6288724915536864
64.0,0.0,0.0,0.0,42.98483296695869,0.5278354560164201,2.2009203022590826,-20.007878411490395,5.051150525147193,4.718198389874504,-61.49992721404268,-41.746048194671474,1.3776119841707877
65.0,0.0,0.0,0.0,46.3785601679855,0.3215950705129434,3.0249974759374534,-21.927807790227575,5.616575544472223,3.276386384904259,-64.88281374001146,-43.107128002071775,3.3960563137281374
66.0,0.0,0.0,0.0,49.56233603111047,0.08316778383062001,3.8650758716914684,-22.911731677058075,6.073527522105094,1.6592622824816923,-67.16964540028064,-44.27293400281945,5.380726030269268
67.0,0.0,0.0,0.0,52.45716526192731,-0.13825114206380834,4.47178380897363,-22.975323318845945,6.222330978266945,0.1771700551469389,-68.32526513615409,-45.184674979815995,7.315442070492348
68.0,0.0,0.0,0.0,54.99107953310555,-0.30600453746688644,4.628525751303143,-22.245575804481586,5.915643292718733,-0.9330647905447632,-68.28313148758588,-45.799014602742446,9.18281248716639
69.0,0.0,0.0,0.0,57.13080646656231,-0.40634004247498745,4.335928869807918,-20.975784680892602,5.243906193320807,-1.6424472700068824,-67.26500124380601,-46.08865374760635,10.987953633448377
70.0,0.0,0.0,0.0,58.874587169591045,-0.44958048738259215,3.768436657009241,-19.476997001455437,4.4505152449973915,-2.067828431788855,-65.65444758941516,-46.04166508992529,12.735902616594387
71.0,0.0,0.0,0.0,60.23314814136644,-0.4311791151733839,3.1061028394045334,-17.956713669672133,3.692471180041375,-2.353164402077055,-63.684034228917604,-45.668929123208336,14.430168118981605
72.0,0.0,0.0,0.0,61.20196668017123,-0.3534616887040554,2.4816073116413317,-16.526983544368765,3.0443274924485704,-2.594190905870617,-61.4803142488781,-44.9564718506813,16.071046782905807
