GaitCyclePercent,Hip Flexion/Extension,Hip Add/Abduction,Hip Int/External Rotation,Knee Flx/Extension,Knee Add/Abduction,Knee Int/External Rotation,Ankle Dorsi/Plantarflexion,Ankle Inv/Eversion,Ankle Add/Abduction,Foot Angle,Shank Angle,Thigh Angle
21.0,0.0,0.0,0.0,5.4507414641761525,2.9280164590434987,5.058885804761798,2.2452639312589255,2.0914140024647403,4.8898061408845175,2.17584046256931,2.904924962390918,3.818330899556198
22.0,0.0,0.0,0.0,5.2995956590286015,2.8461215728175535,5.028204442458032,2.270385114127793,2.0993393092867416,4.889210781260695,2.1640045220529647,2.8803568927262484,3.6873015042121127
23.0,0.0,0.0,0.0,5.141464779390842,2.765711104168938,4.95397767092685,2.2899819714984417,2.1101908920177226,4.897042797154863,2.1550774634289924,2.857243445985599,3.538873750465035
24.0,0.0,0.0,0.0,4.973393739503146,2.6903902235382997,4.809622597433628,2.3043120321441046,2.119759574535375,4.881591334127408,2.149493179706717,2.8155662477855827,3.379007474344375
25.0,0.0,0.0,0.0,4.803082912289105,2.6195975976933368,4.608968816596045,2.309786810373733,2.1268693888356487,4.827582043269131,2.143847112261146,2.754791358019118,3.217692419309757
26.0,0.0,0.0,0.0,4.639376087607606,2.553436863803616,4.419609980109796,2.3053606906066832,2.134606070067194,4.738100875554054,2.132800353947261,2.6832970382572894,3.0634363686052626
27.0,0.0,0.0,0.0,4.486715799319869,2.490338538993106,4.309285491764173,2.3007425524603833,2.1486945424837733,4.623464304584522,2.120859300041403,2.6142658375379857,2.9219728145462724
28.0,0.0,0.0,0.0,4.352856568363899,2.4301087438832227,4.28377063197588,2.3020843741647554,2.1714705433154213,4.4949161326569635,2.1093521084281703,2.5617845857372523,2.7961036773209433
29.0,0.0,0.0,0.0,4.2427197769259815,2.374676226196891,4.293864545719795,2.3060353510572345,2.2008469820387195,4.374769748240072,2.099481965568039,2.5212755105444447,2.6933366332648485
30.0,0.0,0.0,0.0,4.157576345435871,2.3279982171881772,4.3005862928569165,2.309114249064726,2.2349355018516057,4.283175062692279,2.0898028838210343,2.4839448695576563,2.6105256600973976
31.0,0.0,0.0,0.0,4.0997013168379715,2.2897577880266655,4.2902110731729275,2.31303981885325,2.274591412493089,4.218652032553543,2.082268205901604,2.449909006455185,2.5483400558471443
32.0,0.0,0.0,0.0,4.069764781140716,2.2578927688179036,4.269502874569842,2.319239619787064,2.3189792908386595,4.1701262992233366,2.0797713286246595,2.416877066824394,2.504164311194665
33.0,0.0,0.0,0.0,4.0682212581656785,2.228461497284867,4.246853981959758,2.3248405403735126,2.3657024893465066,4.130485478434326,2.0809014878263947,2.3868821806494647,2.4835515056394355
34.0,0.0,0.0,0.0,4.09366909579988,2.195817352404598,4.230443068028946,2.3290512803216243,2.4123733493496364,4.099677458991726,2.0846049238474436,2.359316157383978,2.4901090505561245
35.0,0.0,0.0,0.0,4.145690713483085,2.1655847294694897,4.2289629521157215,2.333139934478013,2.4582996479120034,4.080779705865818,2.089535831194848,2.332062268613263,2.5206235397387875
36.0,0.0,0.0,0.0,4.215470459197995,2.144728836122068,4.252853144203257,2.3379898797027487,2.5055534346105786,4.071707762352848,2.0956488095462773,2.307891099954229,2.574566599886422
37.0,0.0,0.0,0.0,4.295491062224001,2.1332550425228805,4.3173747722822275,2.3416283576132595,2.556649344124475,4.067706519947122,2.104146173806737,2.290752953574765,2.6426556278069784
38.0,0.0,0.0,0.0,4.377366271228037,2.126380903742912,4.430715626101441,2.3434044184137313,2.6134663429080547,4.06577579562322,2.1159407429572528,2.2728402015268205,2.719234586030868
39.0,0.0,0.0,0.0,4.454564570999548,2.1217714350914307,4.580417688202175,2.341453608404732,2.6759257702154695,4.066036410858025,2.133865890200625,2.252841682757555,2.7938822821850193
40.0,0.0,0.0,0.0,4.5199042137042635,2.1216630278247375,4.7418675987958805,2.336112209548384,2.7427843584884752,4.069286893853765,2.1595905843548504,2.2294885089381915,2.8624737167089163
41.0,0.0,0.0,0.0,4.567188171359744,2.1282763388805597,4.894063594263461,2.329286303601838,2.8133757599681,4.07598852757581,2.196104665515087,2.20567534989249,2.9213101580830796
42.0,0.0,0.0,0.0,4.592363567685188,2.1429094664521955,5.024354313374261,2.324806499803942,2.8889788986534986,4.091727153755202,2.2478009786554543,2.1803039184169646,2.967319524844115
43.0,0.0,0.0,0.0,4.59366361093846,2.1653585132931092,5.1200842318258735,2.3302416772470997,2.966430790578402,4.120820939718094,2.321657470478103,2.160042144904597,2.9961909140935075
44.0,0.0,0.0,0.0,4.576192599740868,2.194127865400971,5.174019486930076,2.3535997662424055,3.044670154944015,4.161355988675347,2.42367979617244,2.1437269848013574,3.0162400578161406
45.0,0.0,0.0,0.0,4.550474694831473,2.2283552314470767,5.183186934400683,2.4054478668261585,3.1268013710216978,4.20954397903268,2.5612835443118254,2.1367920049042115,3.0335512627140693
46.0,0.0,0.0,0.0,4.527334028227353,2.269801125318772,5.151206240769687,2.4971004635696104,3.2166690270343152,4.259804697047845,2.743758429772328,2.1441525624753233,3.0555558726168104
47.0,0.0,0.0,0.0,4.511668923256218,2.3220215885533233,5.092256816106504,2.6363055930111297,3.3121053523391026,4.311271952320954,2.9767918268053055,2.1646554966070273,3.082692914643135
48.0,0.0,0.0,0.0,4.504203493576293,2.3870719670069103,5.02450354547596,2.8294381994382665,3.41002877020243,4.370251567354663,3.265506664950329,2.196895417801615,3.1114335057311275
49.0,0.0,0.0,0.0,4.5037456158438145,2.45873735144434,4.96724684855322,3.072611799616012,3.5080797221717717,4.445839837243868,3.6110871666533733,2.2439227221140587,3.136970635187083
50.0,0.0,0.0,0.0,4.509028390402374,2.5301634802087336,4.928944106495476,3.369972056790035,3.6045228788675874,4.543303786392696,4.01540311168791,2.303780075652425,3.1564563204908658
51.0,0.0,0.0,0.0,4.525833938106204,2.603345639324789,4.904426732878326,3.729230949281843,3.699562294966043,4.663094620619969,4.483484193869246,2.3819971186171087,3.1716227642529273
52.0,0.0,0.0,0.0,4.563216644763156,2.686931243902414,4.887203043502218,4.153875520660261,3.7994743958733856,4.799704162874535,5.030777692056356,2.4716150730705366,3.18880208675487
53.0,0.0,0.0,0.0,4.62970651865143,2.7926514012118693,4.873034305386817,4.65963646431517,3.9208222429312767,4.935711478482994,5.666641461262324,2.5726528403208224,3.218365010455696
54.0,0.0,0.0,0.0,4.736236123071851,2.9262382713530792,4.867077994276204,5.251570500069252,4.084888049734716,5.04899387051542,6.391807958968951,2.6869917317560774,3.2741023964890497
55.0,0.0,0.0,0.0,4.892031389837407,3.087403582302186,4.895142432968192,5.952220386388806,4.313008270962363,5.128420581104423,7.225387468240731,2.8169634365666334,3.3569323139396476
56.0,0.0,0.0,0.0,5.1037044194592385,3.2693310744376944,4.995909683324822,6.760529606116123,4.605881546154343,5.194521247283242,8.157210883332422,2.9580852305924616,3.474158365897304
