GaitCyclePercent,R_Hip Flexion/Extension,L_Hip Flexion/Extension,R_Hip Add/Abduction,L_Hip Add/Abduction,R_Hip Int/External Rotation,L_Hip Int/External Rotation,R_Knee Flx/Extension,L_Knee Flx/Extension,R_Knee Add/Abduction,L_Knee Add/Abduction,R_Knee Int/External Rotation,L_Knee Int/External Rotation,R_Ankle Dorsi/Plantarflexion,L_Ankle Dorsi/Plantarflexion,R_Ankle Inv/Eversion,L_Ankle Inv/Eversion,R_Ankle Add/Abduction,L_Ankle Add/Abduction,R_Foot Angle,L_Foot Angle,R_Shank Angle,L_Shank Angle,R_Thigh Angle,L_Thigh Angle
16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.370336747379051,5.687642918145967,2.70292675678351,3.406780229534353,3.300853119483751,5.597182536223337,2.7637378225133538,1.4092147470552512,2.472323724087962,1.2671861624135505,5.36698062798076,5.646738606364034,2.5408557132840106,2.322526849811101,3.8062107909800513,2.7180522905127047,3.9745239608086393,4.558658469333306
17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2933235393443745,5.657043266958778,2.6824676499953797,3.3797608877808867,3.5297053094614266,5.495164526410571,2.7806457006586887,1.4512803993889019,2.3748836751848015,1.2475836678566659,5.008213276829117,5.441074973273118,2.441892664115165,2.2629402967506795,3.7057302977838646,2.6774767897612715,3.8817563706402467,4.487622113054652
18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20287957228598,5.604687798191203,2.660046937554997,3.3453952098545203,3.7894424906923234,5.387481934451014,2.7840570745334405,1.5175008267227588,2.297240555628012,1.2546796216499476,4.640759558721256,5.21620974485601,2.3533481935379967,2.234233998629452,3.5892594058105765,2.612956579091307,3.7690372434908186,4.409144530086815
19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.082478789433656,5.529001024511677,2.636646756973926,3.2892465643734594,4.033220886308928,5.315423922779424,2.7844702721118564,1.598023592344928,2.2331144005767354,1.28129919010378,4.427406011506981,5.043096007748339,2.2712304387507536,2.2278506740976316,3.4768071360655455,2.5552551249430175,3.6389947282263213,4.333039508967044
20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.908664896004238,5.4372079537841715,2.5918272893942365,3.2137444432524105,4.180053058786764,5.272629075368978,2.7823785550590405,1.6730432571078577,2.178985896218685,1.3191914453674471,4.375082262838714,4.949012731637653,2.2000448912128077,2.2296869504564043,3.3854272054344365,2.511472329107417,3.4812035001138457,4.258217394665038
21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6927580583860875,5.339089944241599,2.5165100783703105,3.1313964325829744,4.216935829697279,5.23137042250858,2.7835080441440256,1.7432036180483255,2.1346008715707896,1.3641097796854758,4.395679069081268,4.9147322331644085,2.1369970933324627,2.239756074435352,3.319280942744185,2.493794850865946,3.289745219361052,4.176335057911568
22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.464169209306522,5.233578086386518,2.4062383658544455,3.053184208011963,4.153235953417362,5.201107955833583,2.780547187325736,1.8139807688264427,2.100238036546935,1.411021043149037,4.4377535155314405,4.9120055200510615,2.0769538022202,2.2545881798577,3.2731341095671667,2.492781342070862,3.0854185448643303,4.077392782231321
23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.224787686177581,5.1216306024341085,2.2709697474851125,2.9870160241598844,4.005787024821883,5.151503640974537,2.7639447011116283,1.8807012021400602,2.0760047964102917,1.4550677989353005,4.471255085717238,4.918719927047579,2.016322351725446,2.273617742398388,3.2315442642118732,2.4891960583225075,2.8626401056170763,3.9586677570563404
24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9720907184835665,4.999931385420168,2.1366171385502986,2.9260509447326934,3.8138330888765646,5.024392063791589,2.7370446791855363,1.9420238960082443,2.0583615217287474,1.4936420543015412,4.451373837418097,4.904958367054114,1.9594934478348622,2.294880767402006,3.160080661523562,2.4730427797046177,2.6220886393293488,3.8286316499708426
25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.716040197665164,4.875694374754844,2.0178266995497323,2.8643216808614023,3.612295620012624,4.820017583199653,2.69657138272169,1.9944216497460103,2.0369826705265694,1.5307545457175191,4.373883720689172,4.851146965518104,1.902737461089852,2.315346585985734,3.0594901589114305,2.4452982284739284,2.378784031978765,3.6949090069558443
26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.466585451794957,4.756069577375817,1.9155759726240165,2.803874412244109,3.4696110461286875,4.605557375680193,2.641227544070705,2.03637949157311,2.0069521293778205,1.572148985822857,4.2475219139930305,4.765501089892489,1.8372569351112744,2.331537165681738,2.9391399512534098,2.411185808761885,2.143327553756684,3.5652926351310765
27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.231331709901135,4.644152631076575,1.8267050683394486,2.7447030428834767,3.440738626787355,4.458604939472364,2.5860399614538943,2.074338692950292,1.9763282161510232,1.619306260061846,4.091354346502305,4.659233731648208,1.7695262745813969,2.3467659635586853,2.8215981522723568,2.378031759323234,1.9195263487891514,3.4462448983264515
28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.019612370211214,4.548477787576337,1.7515298873083696,2.6858552898968733,3.4770010247252876,4.406112468957094,2.5460547000323306,2.1113294488642516,1.9527513153560057,1.6698054604681543,3.931679161681718,4.541985864358393,1.7057708760793993,2.3596218340984225,2.7267581772550544,2.359467581530231,1.7171553309436705,3.3383752011574304
29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8354367597762984,4.47515861994933,1.6961288894991537,2.626794432824384,3.5063095704300458,4.404662972734637,2.5107983586220333,2.1498210792028827,1.933463011762026,1.7236833452528386,3.7967000120944507,4.433201631729001,1.6467642444668567,2.3717387076252643,2.646204460651876,2.352518365325329,1.552280084296504,3.247884803379892
30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.681217174905373,4.423742328304597,1.6690159552248607,2.5701860443332643,3.516767836432245,4.404279392734184,2.473880502802872,2.186174444401647,1.9163034187522519,1.7786392974440386,3.692683827362909,4.355565656130609,1.590942646323641,2.381795594197342,2.5656457518324993,2.350054987276822,1.4316880769216231,3.169742881460855
31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5693294307422785,4.39210242705992,1.6678372148027165,2.5169518265923894,3.5155853918075692,4.380689168360855,2.4345640197026714,2.2240153823460824,1.9028187808803179,1.836208161183532,3.6100143519261834,4.309181998987143,1.5374264273015135,2.393142474853819,2.4896088002515975,2.3483617940910917,1.3736445255026875,3.101589314536366
32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5068077426427458,4.37800816785731,1.6791453756188939,2.468898057799715,3.5184410570043205,4.337923228540065,2.3941314002248553,2.265541492822276,1.8889279817296871,1.8967099795517413,3.527426627691897,4.286008476881684,1.488567803722073,2.409049303517319,2.4095707269200535,2.3487464771824853,1.3811418888355003,3.0400382991551833
33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4964446883291624,4.380321287419342,1.692690330855074,2.424863223226309,3.529245201350339,4.290602610090931,2.354640479645103,2.3036276302759386,1.8747875775702176,1.958978175043053,3.4283175363494425,4.279651502319313,1.445159207988448,2.427240387827868,2.331390644265651,2.351654141075168,1.4604800060252316,2.989680197945386
34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5388013131155382,4.395829908262979,1.7034889977042125,2.3791269702602778,3.536441160146352,4.257315090267727,2.319108443719415,2.3347403839672487,1.8625077499114806,2.020003408465476,3.3252806139050346,4.285316676030496,1.40475181174174,2.4472739603137144,2.259071012808273,2.3522914345286026,1.6016466223089532,2.9552625072694467
35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.624831944089137,4.428704438657726,1.7059988475856462,2.3406365361378656,3.53237538789292,4.254150754271632,2.290370453518373,2.3596500614745217,1.8513305957545345,2.078543063390923,3.2389009854411,4.299327193551895,1.366459195437692,2.4677300114988423,2.1889948058173894,2.349252729967536,1.7828021765767956,2.935289615538757
36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.738426526968396,4.473481451399865,1.6993839668348658,2.317356436748373,3.5233418475745997,4.292930165304237,2.270429307577928,2.3794636853970785,1.8429322086099087,2.136694118125711,3.177639957254055,4.315953030837264,1.3300963381902602,2.4886557538470355,2.1243834945004143,2.3468356660103638,1.9845565810703154,2.933896002188725
37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8597432964534253,4.529598964095832,1.6887866239769806,2.3070511768397606,3.526536538245973,4.385381620412706,2.2543277467389573,2.3944173585129858,1.8398098611916809,2.1978667936606286,3.1413984742367225,4.330000029657887,1.2965214919291483,2.5115130876752803,2.06863883308907,2.3500017621425267,2.1850473362451543,2.9468251934307603
38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9711016040538984,4.593612919669516,1.6779876408879475,2.3022719898837596,3.560688140083361,4.533399542496608,2.2390354747283063,2.405269659574768,1.845928462472801,2.2630980309920794,3.1260754508894606,4.339116168497051,1.2630179125280478,2.5387209530994403,2.010890370418101,2.3518059663021504,2.378502802282115,2.9698248738925144
39.0,0.0,0.0,0.0,0.0,0.0,0.0,4.061938489263646,4.661857194462942,1.6752213555859707,2.296755244077508,3.6294839376411634,4.716425338300927,2.219188233169052,2.411903960989581,1.8623940357779742,2.331715373214064,3.1245561644756576,4.345832883754423,1.2378172267740235,2.5717268132721176,1.9523342679168847,2.3508221327606105,2.541631949031356,3.00087150007568
